574722	The Memory Of Trees(Instrumental)	The Memory Of Trees (樹的回憶)	Enya
574723	Anywhere Is	The Memory Of Trees (樹的回憶)	Enya
574726	China Roses	The Memory Of Trees (樹的回憶)	Enya
579557	That's The Way We Do - Part I	The Way We Do(我行我素)	ISYSS
579559	Oh No She Didn't	The Way We Do(我行我素)	ISYSS
580072	Kiss An Angel Good Mornin'	Under The Influence(影響深遠)	Alan Jackson
580077	It Must Be Love	Under The Influence(影響深遠)	Alan Jackson
580267	Adia	Surfacing(透明專輯)	Sarah McLachlan
580270	Angel	Surfacing(透明專輯)	Sarah McLachlan
580821	Body	I Will Survive (妳走妳的路)	Chantay Savage
581135	Endless Love	Greatest Hits - The RCA Years(黃金歲月精選輯)	Diana Ross
591124	Do You Remember?	...But Seriously(言歸正傳)	Phil Collins
605295	Basket case	Dookie(道奇)	Green Day
612548	Breathe	Hotel Paper(流浪者之歌)	Michelle Branch
612550	Til I Get Over You	Hotel Paper(流浪者之歌)	Michelle Branch
617810	If You Had My Love	On The 6(六號地下鐵)	Jennifer Lopez
617814	Let's Get Loud	On The 6(六號地下鐵)	Jennifer Lopez
617815	Could This Be Love	On The 6(六號地下鐵)	Jennifer Lopez
618365	Forever in love	Here We Come(我們來啦!)	A1
618369	Everytime	Here We Come(我們來啦!)	A1
619766	Want You Bad	Conspiracy Of One	The Offspring
621917	Hide	Weathered(破浪而出)	Creed
621924	Livin La Vida Loca(瘋狂人生)	The Best Of Ricky Martin(榮耀全球英文最精選)	Ricky Martin
621925	Maria (Spanglish Radio Edit By Pablo Flores)(瑪麗亞)	The Best Of Ricky Martin(榮耀全球英文最精選)	Ricky Martin
621926	She Bangs(怦然心動)	The Best Of Ricky Martin(榮耀全球英文最精選)	Ricky Martin
621929	The Cup Of Life (La Copa De La Vida)(English Radio Edit)(聖盃之光)	The Best Of Ricky Martin(榮耀全球英文最精選)	Ricky Martin
621930	Nobody Wants To Be Lonely (Duet With Christina Aguilera)(不願孤獨)	The Best Of Ricky Martin(榮耀全球英文最精選)	Ricky Martin
621936	Shake Your Bon Bon(搖擺身軀)	The Best Of Ricky Martin(榮耀全球英文最精選)	Ricky Martin
645286	New York, New York	All By Myself	黃小琥 (Tiger Huang)
658284	Sweet Thing	4ever Blue	Blue
658285	The Gift	4ever Blue	Blue
658286	Quand Le Rideau Tombe	4ever Blue	Blue
667295	Creep	CrazySexyCool(瘋狂性感冷酷)	TLC
667297	Diggin' On You	CrazySexyCool(瘋狂性感冷酷)	TLC
667422	Most Girls	Can't Take Me Home(別帶我回家)	P!nk
667487	B.O.B	Big Boi And Dre Present...Outkast(再出江湖)	Outkast
667490	Ms. Jackson	Big Boi And Dre Present...Outkast(再出江湖)	Outkast
668990	Why	Diva(女伶)	Annie Lennox
674083	Amazed	Lonely Grill	Lonestar
678049	All Or Nothing	O-Town(首張相名專輯)	O-Town
680193	Fast Car	Tracy Chapman(崔西查普曼專輯)	Tracy Chapman
681190	Riddle	Masterpiece Theater(好戲上場)	En Vogue
681232	We Have Forgotten	Sixpence None The Richer(首張同名專輯)	Sixpence None The Richer
681235	Kiss Me	Sixpence None The Richer(首張同名專輯)	Sixpence None The Richer
681242	Love	Sixpence None The Richer(首張同名專輯)	Sixpence None The Richer
681244	There She Goes	Sixpence None The Richer(首張同名專輯)	Sixpence None The Richer
681280	Scene Two: 1. Overture 1928	Secenes From A Memory(一個記憶的場景)	Dream Theater
681289	Scene Eight: The Spirit Carries On	Secenes From A Memory(一個記憶的場景)	Dream Theater
682810	So Much In Love	All 4 One(同名專輯)	All 4 One
682813	I Swear	All 4 One(同名專輯)	All 4 One
682943	Goin' Where The Wind Blows	Hey Man(嘿!老兄)	Mr. Big
684231	Disease	More Than You Think You Are(超乎想像)	Matchbox Twenty
684233	Unwell	More Than You Think You Are(超乎想像)	Matchbox Twenty
684610	Borderline	Madonna(瑪丹娜專輯)	Madonna
684670	Papa Don't Preach	True Blue(真實的憂鬱)	Madonna
684671	Open Your Heart	True Blue(真實的憂鬱)	Madonna
684676	La Isla Bonita	True Blue(真實的憂鬱)	Madonna
684854	Like A Prayer	Like A Prayer(宛如祈禱者)	Madonna
685152	Material Girl	The Immaculate Collection('84~'90影像精選)	Madonna
689750	Burn	Three Days Grace(同名專輯)	Three Days Grace
689751	Just Like You	Three Days Grace(同名專輯)	Three Days Grace
689752	I Hate Everything About You	Three Days Grace(同名專輯)	Three Days Grace
689753	Home	Three Days Grace(同名專輯)	Three Days Grace
689758	Wake Up	Three Days Grace(同名專輯)	Three Days Grace
696918	Secret	Bedtime Stories(枕邊故事)	Madonna
696922	Human Nature	Bedtime Stories(枕邊故事)	Madonna
696953	You Oughta Know	Jagged Little Pill(小碎藥丸)	Alanis Morissette
696955	Hand In My Pocket	Jagged Little Pill(小碎藥丸)	Alanis Morissette
696958	You Learn	Jagged Little Pill(小碎藥丸)	Alanis Morissette
696961	Ironic	Jagged Little Pill(小碎藥丸)	Alanis Morissette
697147	You Really Got Me (Remastered Album Version)	The Best Of Both Worlds(名曲精選輯第一輯)	Van Halen
697223	I Don't Want To Wait	This Fire(這一場火)	Paula Cole
697465	Good Riddance	Nimrod(獵人)	Green Day
698736	In These Shoes	Bette(我愛貝蒂)	Bette Midler
698737	God Give Me Strength	Bette(我愛貝蒂)	Bette Midler
698739	Love TKO	Bette(我愛貝蒂)	Bette Midler
698741	Nobody Else But You	Bette(我愛貝蒂)	Bette Midler
699279	Buried Myself Alive	The Used(首張同名專輯)	The Used
699281	Blue And Yellow	The Used(首張同名專輯)	The Used
704612	Saving All My Love For You	Whitney Houston(惠妮)	Whitney Houston
704613	Nobody Loves Me Like You Do	Whitney Houston(惠妮)	Whitney Houston
704617	Greatest Love Of All	Whitney Houston(惠妮)	Whitney Houston
719224	Vision Of Love	Mariah Carey(同名專輯)	Mariah Carey
719715	Dream On	Aerosmith(同名專輯)	Aerosmith
721268	How Am I Supposed To Live Without You	Greatest Hits 1985-1995(1985-1995十年暢銷金曲精選)	Michael Bolton
721270	How Can We Be Lovers	Greatest Hits 1985-1995(1985-1995十年暢銷金曲精選)	Michael Bolton
721273	When A Man Loves A Woman	Greatest Hits 1985-1995(1985-1995十年暢銷金曲精選)	Michael Bolton
730166	Stranger In Moscow	HIStory: Past, Present and Future, Book 1(他的歷史:昨日、今日、明日 第一輯(套裝))	Michael Jackson
730173	Childhood (Theme From 'Free Willy 2')	HIStory: Past, Present and Future, Book 1(他的歷史:昨日、今日、明日 第一輯(套裝))	Michael Jackson
730175	2 Bad	HIStory: Past, Present and Future, Book 1(他的歷史:昨日、今日、明日 第一輯(套裝))	Michael Jackson
732865	The Final Countdown	The Final Countdown(倒數計時)	Europe
732866	Rock The Night	The Final Countdown(倒數計時)	Europe
732867	Carrie	The Final Countdown(倒數計時)	Europe
732868	Danger On The Track	The Final Countdown(倒數計時)	Europe
732870	Cherokee	The Final Countdown(倒數計時)	Europe
757794	Summertime	Platinum & Gold Collection(白金精選)	DJ Jazzy Jeff ＆ Fresh Prince
757795	Boom! Shake The Room	Platinum & Gold Collection(白金精選)	DJ Jazzy Jeff ＆ Fresh Prince
758153	I'm All About You	Oh Aaron(天之驕子)	Aaron Carter
758221	Ignition	Chocolate Factory(巧克力夢工廠)	R. Kelly
771137	Make that stone beat like a heart again	When Sun Falls On My Feet	Starlet
771140	To sleep this evil day away	When Sun Falls On My Feet	Starlet
775750	I Remember	I Remember	周華健 (Emil Chau)
775752	Forever Young	I Remember	周華健 (Emil Chau)
775754	This Magic Moment	I Remember	周華健 (Emil Chau)
775756	Mandy	I Remember	周華健 (Emil Chau)
776156	True Colors	Tea For Two	萬芳
776158	What A Wonderful World	Tea For Two	萬芳
798431	One	Elva First	蕭亞軒 (Elva Hsiao)
798432	Cappuccino	Elva First	蕭亞軒 (Elva Hsiao)
798434	Lonely(原曲：突然想起你)	Elva First	蕭亞軒 (Elva Hsiao)
798437	Nobody(原曲：沒有人)	Elva First	蕭亞軒 (Elva Hsiao)
802816	I Don't Care Anymore	Hello, I Must Be Going(哈囉,我必須走了)	Phil Collins
802911	Rhythm Of My Heart	Vagabond Heart(漂泊的心)	Rod Stewart
802919	Have I Told You Lately	Vagabond Heart(漂泊的心)	Rod Stewart
814603	Moon river	16 Biggest Hits(16首經典典藏)	Andy Williams
814606	Dear heart	16 Biggest Hits(16首經典典藏)	Andy Williams
848152	Fever	Erotica(情慾)	Madonna
850262	Papercut	Hybrid Theory(混合理論)	Linkin Park
850263	One Step Closer	Hybrid Theory(混合理論)	Linkin Park
850264	With You	Hybrid Theory(混合理論)	Linkin Park
850265	Points Of Authority	Hybrid Theory(混合理論)	Linkin Park
850266	Crawling	Hybrid Theory(混合理論)	Linkin Park
850267	Runaway	Hybrid Theory(混合理論)	Linkin Park
850268	By Myself	Hybrid Theory(混合理論)	Linkin Park
